LANGUAGE,ENGLISH - CHARACTER,ENGLISH - LINE,PORTUGUESE - BRAZIL - CHARACTER,PORTUGUESE - BRAZIL - LINE
Text1,,Kotaro is buying watch parts in a store.,,Kotaro está comprando peças de relógio em uma loja.
Text2,Salesman,"Here are all the parts, sir Kotaro!",Vendedor,"Aqui estão todas as peças, senhor Kotaro!"
Text3,Kotaro,"I already told you to not call me sir Kotaro, I am too young to be called sir!",Kotaro,"Já disse que não precisa me chamar de senhor Kotaro, sou muito novo para ser chamado de senhor!"
Text4,,Kotaro smiles to the salesman and says good bye with the parts on his hands.,,Kotaro sorri para o vendedor e se despede com as peças na sua mão.
Text5,Kotaro,"""It's late, I need to get home soon...""",Kotaro,"“Está tarde, preciso chegar logo em casa…”"
Text6,,Kotaro goes inside his vehicle and goes home.,,Kotaro entra no seu veículo e vai para casa.
Text7,,"In the midway, a girl is running in front of the vehicle and he brakes hard!",,"No meio do caminho, uma garota corre em frente ao carro e Kotaro freia bruscamente!"
Text8,,Kotaro gets out of the vehicle and goes check if the girl is okay.,,Kotaro sai do carro para verificar se a garota está bem.
Text9,Kotaro,"Hey, what's your problem?!",Kotaro,"Vem cá, qual o seu problema?!"
Text10,Kotaro,"Hey, are you okay?",Kotaro,"Ei, você está bem?"
Text11,Girl in the purple kimono,Ouch ouch ouch...,Garota do kimono roxo,Ai ai ai ai….
Text12,Kotaro,Are you okay? Are you hurt?!,Kotaro,Você está bem? Se machucou?!
Text13,Girl in the purple kimono,"Please help me sir! I will explain it to you later, but get me out of here!",Garota do kimono roxo,"Moço, por favor me ajude! Depois eu explico, mas me leve daqui!"
Text14,,Kotaro gets confused.,,Kotaro fica confuso.
Text15,Kotaro,Okay... Get in the vehicle.,Kotaro,Certo… Entre no carro.
Text16,,The girl and Kotaro goes inside the vehicle.,,A garota e Kotaro vão para dentro do carro.
Text17,,They arrive at the store.,,Os dois chegam na loja.
Text18,Girl in the purple kimono,What a beautiful place...,Garota do Kimono Roxo,Que lugar lindo…
Text19,Kotaro,Let's go inside.,Kotaro,Vamos entrar.
Text20,,"When Kotaro opens the door, it makes a sound and ends up drawing attention of the two girls inside the store that is closed.",,"Quando Kotaro abre a porta, ela faz um barulho e acaba chamando a atenção de duas garotas dentro da loja que já estava fechada."
Text21,Kotaro,"Haruna and Sayumi, I am home!",Kotaro,"Haruna e Sayumi, cheguei!"
Text22,Haruna,Kotaro! I am glad that you... Who is her?!,Haruna,Kotaro! Ainda bem que você… Quem é ela?!
Text23,Sayumi,"I didn't know that you had other girl friends, Kotaro...",Sayumi,Não sabia que você tinha amigas além de nós Kotaro…
Text24,,Kotaro explains to them what happened.,,Kotaro explica para elas o que ocorreu.
Text25,Sayumi,"Hey little girl, do you have a problem to sleep in a dirty room?",Sayumi,"Ei garotinha, você tem problema de dormir em um quarto sujo?"
Text26,Girl in the purple kimono,No mada-,Garota do Kimono Roxo,Não senh-
Text27,Sayumi,Don't you dare end this sentence...,Sayumi,Não ouse terminar essa frase…
Text28,,Haruna starts laughing at the situation.,,Haruna começa a rir da situação.
Text29,Haruna,Never call her that or else she will kill you.,Haruna,Nunca chame ela disso ou se não ela te mata.
Text30,Girl in the purple kimono,I am sorry!,Garota do Kimono Roxo,Desculpe!
Text31,Sayumi,My name is Sayumi and the child beside you is called Haruna. Memorize our names and we won't have any problems.,Sayumi,Me chamo Sayumi e a criança do seu lado se chama Haruna. Decore nossos nomes e não teremos problemas.
Text32,Girl in the purple kimono,"Yes, Sayumi-chan!",Garota do Kimono Roxo,"Sim, Sayumi-chan!"
Text33,Kotaro,"Well, I'll take her to her room now. Tomorrow we start early, so let's go to sleep.",Kotaro,"Bem, irei levar ela para o quarto agora. Amanhã começamos logo cedo, então vamos dormir."
Text34,Haruna,Yes!,Haruna,Sim!
Text35,,Kotaro takes the girl to the bedroom.,,Kotaro leva a garota para o quarto.
Text36,Kotaro,This will be your room today. And please don't touch anything.,Kotaro,"Esse será seu quarto hoje. E por favor, não mexa em nada."
Text37,Girl in the purple kimono,Okay!,Garota do Kimono Roxo,Certo!
Text38,,Kotaro turns to leave the room.,,Kotaro se vira para sair do quarto.
Text39,Girl in the purple kimono,Kotaro-kun?! Thank you for the help…,Garota do Kimono Roxo,Kotaro-kun?! Muito obrigada pela ajuda…
Text40,,"The girl smiles at Kotaro, showing herself quite grateful for the situation.",,A garota sorri para Kotaro mostrando-se bastante agradecida pela situação.
Text41,,"Kotaro smiles back and goes to his room.",,Kotaro sorri de volta e vai para seu quarto.
Text42,Haruna,"Sayu, did you find that girl familiar too?",Haruna,"Sayu, você também achou aquela garota familiar?"
Text43,Sayumi,"I may be wrong, but I think I know her.",Sayumi,"Posso estar enganada, mas acho que conheço ela."
Text44,,Sayumi remains thoughtful.,,Sayumi continua pensativa.
Text45,Sayumi,"""A girl like that in an expensive kimono in the middle of the street at night... She's not poor like us...""",Sayumi,“Uma garota dessas com um kimono caro no meio da rua a noite… Ela não é pobre como nós…”
Text46,,Haruna starts to yawn.,,Haruna começa a bocejar.
Text47,Haruna,"Sayu, I'm getting sleepy. I'm going to sleep and tomorrow we'll talk more!",Haruna,"Sayu, estou ficando com sono. Vou dormir e amanhã nos falamos mais!"
Text48,Sayumi,"Let's go. Good night, Haruna-chan.",Sayumi,"Vamos. Boa noite, Haruna-chan."
Text49,,Everyone goes to sleep.,,Todos vão dormir.
Text50,Haruna,Kotaro! Kotaro! Wake up that customers arrive soon!,Haruna,Kotaro! Kotaro! Acorde que os clientes chegam logo!
Text51,Kotaro,But already?! It's so early…,Kotaro,Mas já?! Está tão cedo…
Text52,Haruna,"Look at the time, you're late!",Haruna,"Olhe a hora, você que está atrasado!"
Text53,Kotaro,What?!,Kotaro,O que?!
Text54,,Kotaro gets out of bed and runs to get ready.,,Kotaro se levanta da cama e corre para se arrumar.
Text55,Haruna,Just kidding! Get ready because we will open it soon.,Haruna,É brincadeira… mas se arrume logo que já já abrimos.
Text56,,Kotaro gets dressed and goes to the store.,,Kotaro se veste e vai para a loja.
Text57,Kotaro,"Wow, as we had a lot of customers today. The night shift starts in a little while...",Kotaro,"Nossa, como hoje tivemos bastante clientes. Daqui a pouco começa o turno da noite…"
Text58,Sayumi,"Kotaro, the girl you brought hasn't left her room yet. Wouldn't it be nice to check that she's okay?",Sayumi,"Kotaro, a garota que você trouxe ainda não saiu do quarto até agora. Não seria bom verificar se está tudo bem com ela?"
Text59,Kotaro,"It's true… I'm going there now. Sayumi, can you please start organizing everything for the night shift while I do this?",Kotaro,"É verdade… Vou lá agora. Sayumi, você pode começar a organizar tudo para o turno da noite enquanto faço isso?"
Text60,Sayumi,No problem. Haruna and I will take care of everything.,Sayumi,Sem problemas. Eu e Haruna cuidaremos de tudo.
Text61,,Kotaro goes to the girl's room to check and she is still sleeping.,,Kotaro vai ao quarto da garota para verificar e ela ainda está dormindo.
Text62,Girl,"Kotaro, is that you?",Garota,"Kotaro, é você?"
Text63,Kotaro,"Yes, are you okay? Did you sleep well?",Kotaro,"Sim, você está bem? Conseguiu descansar?"
Text64,,The girl gets up and looks fine.,,A garota se levanta e se mostra bem.
Text65,Girl,"Well, I think I owe you an explanation...",Garota,"Bem, acho que te devo uma explicação…"
Text66,Girl,"My name is Sakura, the reason I'm running away is that my brother was after me... He almost found me if it wasn't for you.",Garota,"Meu nome é Sakura, a razão por estar fugindo é que meu irmão estava atrás de mim… Ele quase me achou se não fosse você."
Text67,Kotaro,"But, why are you running away from your family?",Kotaro,"Mas, porque você está fugindo da sua família?"
Text68,Sakura,My family has a tradition where everyone must follow a path dictated by their parents and… I don't want that.,Sakura,A minha família tem uma tradição onde todos devem seguir um caminho ditado pelos pais e… eu não quero isso.
Text69,Sakura,"I want to have my life, with my goals and dreams... But all they want for me is to continue the family business with my brother.",Sakura,"Quero ter a minha vida, do meu jeito, com as minhas metas e sonhos... Mas, tudo que eles querem para mim é continuar o negócio da família, junto ao meu irmão."
Text70,,Sakura tells Kotaro more about her life.,,Sakura conta mais sobre sua vida para Kotaro.
Text71,,"Meanwhile, Sayumi and Haruna are outside the room listening to the conversation.",,"Enquanto isso, Sayumi e Haruna estão do lado de fora do quarto ouvindo a conversa."
Text72,Sayumi,Now it all makes sense...,Sayumi,Agora tudo faz sentido…
